,hidden_dimension,epoch,train_loss,valid_loss
0,32.0,0.0,0.0570740420371294,0.04844604972749948
1,32.0,1.0,0.04615195095539093,0.04256987292319536
2,32.0,2.0,0.041024292648142696,0.040038883499801156
3,32.0,3.0,0.03965129402979296,0.03949742913246155
4,32.0,4.0,0.039251052109258514,0.039209815487265584
5,32.0,5.0,0.038051159178115884,0.0375762727111578
6,32.0,6.0,0.03557370949004378,0.03686844110488892
7,32.0,7.0,0.03477503819277092,0.035312235727906226
8,32.0,8.0,0.034323763178319346,0.03494743164628744
9,32.0,9.0,0.03397965913980591,0.034757593087852
10,32.0,10.0,0.03360149937168676,0.03387408833950758
11,32.0,11.0,0.03192011274549426,0.03241039365530014
12,32.0,12.0,0.030229404416619515,0.03252091594040394
13,32.0,13.0,0.029516619687177698,0.032335298135876656
14,32.0,14.0,0.029019635645862744,0.031157690100371838
15,32.0,15.0,0.028372286020645072,0.030450798012316226
16,32.0,16.0,0.027432626607466717,0.030230089835822583
17,32.0,17.0,0.026937334437151343,0.029461665358394385
18,32.0,18.0,0.026097370273604686,0.028574485145509244
19,32.0,19.0,0.02554087958545709,0.028712953068315984
20,32.0,20.0,0.02524250453071935,0.028910249564796688
21,32.0,21.0,0.024946646802887624,0.028517759498208763
22,32.0,22.0,0.024614856882515003,0.028345651645213365
23,32.0,23.0,0.024578274531784107,0.029380292072892188
24,32.0,24.0,0.024393900563674315,0.028423426486551762
25,32.0,25.0,0.024068664835423838,0.028295823186635972
26,32.0,26.0,0.023890175856649876,0.028172889444977044
27,32.0,27.0,0.02381161788516507,0.028338612522929907
28,32.0,28.0,0.02354485243178752,0.028362331725656987
29,32.0,29.0,0.02352380250789681,0.028565023560076952
30,32.0,30.0,0.02323436467167066,0.028381057549268007
31,32.0,31.0,0.023039801388370747,0.029350165836513044
32,32.0,32.0,0.022893941086926023,0.02803244413807988
33,32.0,33.0,0.02274077305836337,0.0277148581109941
34,32.0,34.0,0.02245790665323029,0.027870147582143547
35,32.0,35.0,0.02230528673651267,0.027800749614834787
36,32.0,36.0,0.022412193349885697,0.027864209096878766
37,32.0,37.0,0.02203225192366814,0.027870583441108467
38,32.0,38.0,0.021943696489443585,0.027810888551175594
39,32.0,39.0,0.02176424315465348,0.02817441625520587
40,32.0,40.0,0.021746842380689115,0.027661650255322457
41,32.0,41.0,0.021476705577604626,0.027857393585145475
42,32.0,42.0,0.02141007898869563,0.028069331496953964
43,32.0,43.0,0.02129301278642854,0.0274455439299345
44,32.0,44.0,0.02101783475325424,0.02742317533120513
45,32.0,45.0,0.02106480769889087,0.027769762463867663
46,32.0,46.0,0.02085071125504922,0.027483684197068214
47,32.0,47.0,0.02080667657511575,0.027673361729830502
48,32.0,48.0,0.020621003031882704,0.027571291476488114
49,32.0,49.0,0.020536716134116357,0.02760123461484909
50,32.0,50.0,0.020423668493725816,0.02739717336371541
