,hidden_dimension,epoch,train_loss,valid_loss
0,8.0,0.0,10.531545247882605,2.8612158447504044
1,8.0,1.0,5.0742929223924875,4.410027295351028
2,8.0,2.0,3.8088827040046453,4.577006474137306
3,8.0,3.0,3.569488048553467,4.666112706065178
4,8.0,4.0,3.4424166586250067,4.704600393772125
5,8.0,5.0,3.354553146287799,4.622814819216728
6,8.0,6.0,3.3064254950731993,4.659349024295807
7,8.0,7.0,3.2175825871527195,4.671291217207909
8,8.0,8.0,3.1768497712910175,4.4788646548986435
9,8.0,9.0,3.134617105126381,4.33897565305233
10,8.0,10.0,3.085735883563757,4.333989977836609
11,8.0,11.0,3.087732147425413,4.2424526661634445
12,8.0,12.0,3.048717526718974,4.282341659069061
13,8.0,13.0,3.0363344606012106,4.312560632824898
14,8.0,14.0,3.017320353537798,4.149739369750023
15,8.0,15.0,3.0184783916920424,4.254032909870148
16,8.0,16.0,3.0029888916760683,4.235760688781738
17,8.0,17.0,2.9921451192349195,4.181318715214729
18,8.0,18.0,2.9837706983089447,4.176866218447685
19,8.0,19.0,2.974955338984728,4.105893403291702
20,8.0,20.0,2.967395193874836,4.186087086796761
21,8.0,21.0,2.9605892710387707,4.209853410720825
22,8.0,22.0,2.9648235887289047,4.211483016610146
23,8.0,23.0,2.945304710417986,4.155638352036476
24,8.0,24.0,2.945865884423256,4.130380719900131
25,8.0,25.0,2.930554285645485,4.122325211763382
26,8.0,26.0,2.9291042555123568,4.179154172539711
27,8.0,27.0,2.917579421773553,4.18410786986351
28,8.0,28.0,2.9108869452029467,4.101794257760048
29,8.0,29.0,2.9182409774512053,4.108554735779762
30,8.0,30.0,2.911432696506381,4.067812547087669
31,8.0,31.0,2.9066496938467026,3.9599796384572983
32,8.0,32.0,2.895659239962697,4.00984987616539
33,8.0,33.0,2.8857639506459236,4.019926697015762
34,8.0,34.0,2.870692292228341,3.997825264930725
35,8.0,35.0,2.8730022460222244,3.9191122502088547
36,8.0,36.0,2.8753895051777363,3.7871563732624054
37,8.0,37.0,2.8616909720003605,3.8768574744462967
38,8.0,38.0,2.8544336035847664,3.825687289237976
39,8.0,39.0,2.8492411617189646,3.8832446187734604
40,8.0,40.0,2.844954824075103,3.7445108890533447
41,8.0,41.0,2.829641381278634,3.75872366130352
42,8.0,42.0,2.8228345066308975,3.6881237030029297
43,8.0,43.0,2.813048953190446,3.7120546996593475
44,8.0,44.0,2.809542339295149,3.785337418317795
45,8.0,45.0,2.8122113924473524,3.7548098862171173
46,8.0,46.0,2.7935190219432116,3.748934641480446
47,8.0,47.0,2.790521075949073,3.6692952066659927
48,8.0,48.0,2.788365224376321,3.7680175602436066
49,8.0,49.0,2.7826782073825598,3.739262342453003
50,8.0,50.0,2.765048233792186,3.679719403386116
51,8.0,51.0,2.75772987306118,3.6377886682748795
52,8.0,52.0,2.7538669984787703,3.5983227342367172
53,8.0,53.0,2.7490439880639315,3.7191001176834106
54,8.0,54.0,2.7435301784425974,3.635403335094452
55,8.0,55.0,2.730605835095048,3.5950773656368256
56,8.0,56.0,2.729172818362713,3.646570086479187
57,8.0,57.0,2.7138693761080503,3.6282287538051605
58,8.0,58.0,2.702310126274824,3.610866367816925
59,8.0,59.0,2.6981787886470556,3.531018540263176
60,8.0,60.0,2.6829130463302135,3.5974728912115097
61,8.0,61.0,2.682530038058758,3.6737158745527267
62,8.0,62.0,2.676400037482381,3.6580059081315994
63,8.0,63.0,2.6738314609974623,3.662100225687027
64,8.0,64.0,2.6559087075293064,3.625884309411049
65,8.0,65.0,2.649085210636258,3.6534895598888397
66,8.0,66.0,2.6368114426732063,3.5993297696113586
67,8.0,67.0,2.62725031375885,3.694306969642639
68,8.0,68.0,2.617379980161786,3.673887610435486
69,8.0,69.0,2.6187023017555475,3.712240755558014
70,8.0,70.0,2.612571183592081,3.6564493626356125
71,8.0,71.0,2.606544414535165,3.528379298746586
72,8.0,72.0,2.593849766999483,3.551709905266762
73,8.0,73.0,2.5801958851516247,3.6523644626140594
74,8.0,74.0,2.5719615165144205,3.6205319315195084
75,8.0,75.0,2.5587977040559053,3.5597609281539917
76,8.0,76.0,2.551832927390933,3.6434912979602814
