,hidden_dimension,epoch,train_loss,valid_loss
0,32.0,0.0,12.505868900567293,4.968310996890068
1,32.0,1.0,4.710462860763073,5.78326541185379
2,32.0,2.0,3.2107875030487776,8.859196215867996
3,32.0,3.0,2.660079561173916,5.583675593137741
4,32.0,4.0,2.3931804448366165,4.184188902378082
5,32.0,5.0,2.25759716052562,5.556468054652214
6,32.0,6.0,2.150985961779952,5.124206364154816
7,32.0,7.0,2.0682210894301534,4.096469402313232
8,32.0,8.0,2.0063277892768383,5.797419086098671
9,32.0,9.0,1.9481322104111314,5.01334685087204
10,32.0,10.0,1.8962378893047571,4.458568215370178
11,32.0,11.0,1.8627772340551019,4.442697063088417
12,32.0,12.0,1.8061340227723122,3.5081690326333046
13,32.0,13.0,1.7871974892914295,4.162242874503136
14,32.0,14.0,1.7694729920476675,3.9143180400133133
15,32.0,15.0,1.7564448853954673,3.6597716882824898
16,32.0,16.0,1.7278772499412298,4.934339344501495
17,32.0,17.0,1.7251874264329672,3.972755506634712
18,32.0,18.0,1.7049879534170032,3.7540034651756287
19,32.0,19.0,1.6973090497776866,3.2040369659662247
20,32.0,20.0,1.6807439429685473,4.052378982305527
21,32.0,21.0,1.6902662198990583,3.0549004524946213
22,32.0,22.0,1.6614728523418307,3.2047294676303864
23,32.0,23.0,1.6718537919223309,2.9798832908272743
24,32.0,24.0,1.6553447898477316,2.6089515015482903
25,32.0,25.0,1.650542420335114,3.1453369930386543
26,32.0,26.0,1.6432916726917028,2.5908689200878143
27,32.0,27.0,1.6403420213609934,2.7221992686390877
28,32.0,28.0,1.6274001551792026,2.6976089775562286
29,32.0,29.0,1.625927341170609,2.590608261525631
30,32.0,30.0,1.6099092122167349,2.476454019546509
31,32.0,31.0,1.610536452382803,2.2830610126256943
32,32.0,32.0,1.6021274542436004,2.3800907507538795
33,32.0,33.0,1.603363343514502,2.3545667082071304
34,32.0,34.0,1.5859618484973907,2.2576517164707184
35,32.0,35.0,1.578848891891539,2.322909191250801
36,32.0,36.0,1.57951192650944,2.2308071851730347
37,32.0,37.0,1.5728115430101752,2.2804702892899513
38,32.0,38.0,1.5687911389395595,2.2036504074931145
39,32.0,39.0,1.5579018918797374,2.145809605717659
