,hidden_dimension,epoch,train_loss,valid_loss
0,16.0,0.0,11.495358731597662,4.114847004413605
1,16.0,1.0,5.182029506191611,7.537466958165169
2,16.0,2.0,3.6112603954970837,6.312488302588463
3,16.0,3.0,3.1196648869663477,6.990567982196808
4,16.0,4.0,2.8276268485933542,7.626275390386581
5,16.0,5.0,2.590192321687937,7.708826661109924
6,16.0,6.0,2.474957576021552,8.264020889997482
7,16.0,7.0,2.4322872310876846,8.21584540605545
8,16.0,8.0,2.3865996301174164,8.214364498853683
9,16.0,9.0,2.3628058563917875,8.555820167064667
10,16.0,10.0,2.34283241443336,8.65166386961937
11,16.0,11.0,2.3402639515697956,8.338916271924973
12,16.0,12.0,2.315914375707507,8.423475831747055
13,16.0,13.0,2.320179745554924,7.999311238527298
14,16.0,14.0,2.301144041121006,7.927843600511551
15,16.0,15.0,2.292746778577566,7.537261098623276
16,16.0,16.0,2.2759893722832203,7.89686843752861
17,16.0,17.0,2.2773689925670624,7.768748879432678
18,16.0,18.0,2.269247269257903,6.957452893257141
19,16.0,19.0,2.2598249036818743,7.063496887683868
20,16.0,20.0,2.239555487409234,7.262513726949692
21,16.0,21.0,2.236634634435177,6.724172502756119
22,16.0,22.0,2.2316776532679796,6.777127206325531
23,16.0,23.0,2.2281603757292032,6.831097736954689
24,16.0,24.0,2.22798553109169,6.253783419728279
25,16.0,25.0,2.2134421821683645,6.2723477482795715
26,16.0,26.0,2.2072654087096453,5.976820066571236
27,16.0,27.0,2.1993658347055316,6.055403888225555
28,16.0,28.0,2.187854235060513,5.827959671616554
29,16.0,29.0,2.183932318352163,5.885057866573334
30,16.0,30.0,2.178738341666758,5.795770138502121
31,16.0,31.0,2.1749499458819628,5.387327134609222
32,16.0,32.0,2.161599989980459,5.534234523773193
33,16.0,33.0,2.1611765548586845,5.2639234364032745
34,16.0,34.0,2.152780771255493,5.18751534819603
35,16.0,35.0,2.144416842609644,5.270549103617668
36,16.0,36.0,2.134697183035314,5.165696874260902
37,16.0,37.0,2.1423212252557278,4.8767609894275665
38,16.0,38.0,2.132268775254488,4.685182213783264
39,16.0,39.0,2.1133894696831703,4.995611324906349
40,16.0,40.0,2.1130774430930614,4.832960546016693
41,16.0,41.0,2.1057915035635233,4.6526661068201065
42,16.0,42.0,2.0965840304270387,4.689404487609863
43,16.0,43.0,2.1014504740014672,4.250786542892456
44,16.0,44.0,2.0842533418908715,4.412518113851547
45,16.0,45.0,2.0813043192029,3.967903047800064
46,16.0,46.0,2.065557445399463,4.4489623457193375
47,16.0,47.0,2.056809389963746,4.617657259106636
48,16.0,48.0,2.0582956122234464,4.50704699754715
49,16.0,49.0,2.054695446975529,4.224020138382912
50,16.0,50.0,2.037271538749337,4.483168140053749
51,16.0,51.0,2.0343027375638485,3.9824191480875015
52,16.0,52.0,2.026608091779053,4.1696407198905945
53,16.0,53.0,2.0127809392288327,3.982917383313179
54,16.0,54.0,2.009099066257477,4.0412322878837585
55,16.0,55.0,2.002354403026402,4.379673853516579
56,16.0,56.0,1.9914430631324649,3.8136191815137863
57,16.0,57.0,1.9847837332636118,3.981711968779564
58,16.0,58.0,1.9770115977153182,3.6951315999031067
59,16.0,59.0,1.966162976808846,4.148141652345657
60,16.0,60.0,1.9614221137017012,3.4550370201468468
61,16.0,61.0,1.963829898275435,3.5693944692611694
62,16.0,62.0,1.9498290354385972,3.6010609418153763
63,16.0,63.0,1.9424286941066384,3.420076444745064
64,16.0,64.0,1.9271860029548407,3.571524992585182
65,16.0,65.0,1.9138799281790853,3.7377460300922394
66,16.0,66.0,1.9087395798414946,3.467523992061615
67,16.0,67.0,1.908320634625852,3.500297486782074
68,16.0,68.0,1.8892805827781558,3.542198106646538
69,16.0,69.0,1.8825269239023328,3.435962624847889
70,16.0,70.0,1.87723258882761,3.6209787875413895
71,16.0,71.0,1.8630830151960254,3.5198318883776665
72,16.0,72.0,1.8701626844704151,3.3320404663681984
73,16.0,73.0,1.8563813595101237,3.4427867457270622
74,16.0,74.0,1.85413589887321,3.2389327734708786
75,16.0,75.0,1.8342563463374972,3.7528644055128098
76,16.0,76.0,1.8472288800403476,3.3129658550024033
77,16.0,77.0,1.823296663351357,3.2842060029506683
78,16.0,78.0,1.8342919712886214,2.9630612954497337
79,16.0,79.0,1.8094085436314344,3.2971251159906387
80,16.0,80.0,1.8098986661061645,3.267624944448471
81,16.0,81.0,1.7962344903498888,3.2978850975632668
82,16.0,82.0,1.7924095885828137,3.2451270148158073
83,16.0,83.0,1.783941906876862,3.2777334451675415
84,16.0,84.0,1.7766846353188157,3.2750563248991966
85,16.0,85.0,1.771660279482603,3.44955250620842
86,16.0,86.0,1.7700848747044802,3.064236804842949
87,16.0,87.0,1.7431093147024512,3.1539595648646355
88,16.0,88.0,1.7532201260328293,3.2538388445973396
